nodeID nodeLabel
241 hsc70.ii
242 kpna7
243 ccna1
244 cycE1
245 MGC81499
246 ccne1
247 SIR3
248 hist2h3c
249 hist1h2aa
250 pds5a
251 smc3
252 rad21
253 stag2
254 stag1
255 pds5b-a
256 chfr
257 tpt1
258 tubb
259 ube2i
260 RPS3
261 Akap9
262 SNCA
263 Rad21
264 fzr1
265 nek2
266 smarce1
267 actb
268 actl6a
269 polr2c
270 cdh1
271 fam64a
272 cdc20
273 ing1
274 eml2
275 pin1-a
276 nedd4l
277 YWHAB
278 Sgk1
279 SFN
280 cdc25a
281 BTRC
282 Mib2
283 Mib1
284 clint1-a
285 HSPA8
286 STUB1
287 topbp1
288 c15orf42
289 HJURP
290 cenpa
291 ncapd3
292 ncapg2
293 ncaph2
294 ncapd2
295 ncapg
296 ncaph
297 ctnnb1-a
298 SOX9
299 MYC
300 ube2e3-a
301 wdr77
302 prmt5
303 hipk2
304 Lef1
305 FZR1
306 mad2l2
307 ccnb2
308 psmd4
309 btrc
310 skp1
311 spdyc-a
312 arhgef2
313 mapk1-b
314 cpeb1-a
315 USP16
316 set1
317 ash2
318 spf1
319 swd3
320 swd1
321 swd2
322 shg1
323 sdc1
324 SET2
325 Set2
326 ell
327 Dnmt1
328 Dnmt3a
329 mof
330 h1f0-a
331 cited2
332 src-a
333 ccnb1
334 cdc25c-a
335 bag6-a
336 Nr0b2
337 gps2
338 esco2
339 nbn
340 set-a
341 pdcd6ip
342 stambp-a
343 ube2d3
344 map3k10
345 CCNA2
346 HIST1H1A
347 CDK7
348 CDK2
349 rangap1-a
350 PCNA
351 FEN1
352 fen1-A
353 fbxo43
354 cdc27
355 eef1a1o
356 sympk
357 xnf7
358 anapc2
359 rps6ka6
360 mos
361 slc25a24-a
362 anapc4
363 anapc5
364 anapc7
365 anapc11
366 cdc16
367 cdc23
368 anapc10
369 brap
370 HRAS
371 dcc
372 sina
373 LDB1
374 rlim-a
375 ppp2r4
376 ccnb1.2
377 ppp3ca
378 wee1-a
379 sgk1-a
380 CTNNB1
381 cdh3-b
382 XDRP1
383 nxf1
384 KPNB1
385 TNPO1
386 IPO11
387 IMPA1
388 katnb1
389 KATNA1
390 mdm2
391 TP53
392 itsn1
393 Epn1
394 Epn2
395 Dnm1
396 Synj1
397 CIA1
398 AURKA
399 Nck
400 Cbl
401 arg-A
402 VCP
403 FADD
404 myd88-A
405 cul4b
406 smn2
407 snrpa
408 gemin2
409 tfiis
410 c-raf
411 map2k1
412 YWHAQ
413 mdfic
414 TCF7L1
415 sh3rf1
416 mapk8
417 mib1
418 HGS
419 nrarp
420 LEF1
421 RBBP4
422 ASF1A
423 Rrm2
424 patl2
425 ybx2-a
426 pabpc4
427 igf2bp3-a
428 MGC86453
429 ybx2-b
430 elavl2-a
431 Zar1
432 STE11
433 trim33
434 dkk1
435 bmp4-a
436 XPO1
437 gtf2e1
438 tbp-a
439 cdkn1a
440 mapk14
441 MAPT
442 CDH1
443 kif22
444 hey1
445 ccdc89
446 uhrf1
447 lrp6-B
448 Fzd8
449 Wnt1
450 dnmt1
451 usp7
452 Prkcz
453 mapk1-a
454 nfkbia
455 rela
456 Raf1
457 Map2k1
458 Map2k2
459 znrf3
460 Rspo2
461 Znrf3
